Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 01:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 02:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 03:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 04:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 05:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 06:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 07:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 08:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 09:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 10:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 11:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 12:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 13:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 14:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 15:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 16:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 17:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 18:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 19:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 20:00:00.000,1.38326,1.38326,1.38326,1.38326,0
01.01.2016 21:00:00.000,1.38326,1.38326,1.38326,1.38326,0
03.01.2016 22:00:00.000,1.38146,1.38696,1.38139,1.38670,1525439941.4063
03.01.2016 23:00:00.000,1.38681,1.38756,1.38414,1.38739,2764330078.125
04.01.2016 00:00:00.000,1.38736,1.38736,1.38493,1.38681,2715919921.875
04.01.2016 01:00:00.000,1.38681,1.39093,1.38681,1.39073,3753699951.1719
04.01.2016 02:00:00.000,1.39073,1.39182,1.38908,1.38953,3677669921.875
04.01.2016 03:00:00.000,1.38953,1.38986,1.38824,1.38890,1825780029.2969
04.01.2016 04:00:00.000,1.38885,1.38958,1.38862,1.38922,2366979980.4688
04.01.2016 05:00:00.000,1.38923,1.39008,1.38912,1.38950,3463189941.4063
04.01.2016 06:00:00.000,1.38951,1.39071,1.38928,1.39069,2349810058.5938
04.01.2016 07:00:00.000,1.39069,1.39359,1.39047,1.39261,5694229980.4688
04.01.2016 08:00:00.000,1.39259,1.39374,1.39214,1.39334,7241450195.3125
04.01.2016 09:00:00.000,1.39334,1.39389,1.39022,1.39051,6374589843.75
04.01.2016 10:00:00.000,1.39051,1.39068,1.38855,1.39054,6060680175.7813
04.01.2016 11:00:00.000,1.39055,1.39246,1.38877,1.39114,6119350097.6563
04.01.2016 12:00:00.000,1.39114,1.39283,1.39091,1.39112,5973569824.2188
04.01.2016 13:00:00.000,1.39111,1.39286,1.39050,1.39064,6552049804.6875
04.01.2016 14:00:00.000,1.39070,1.39112,1.38755,1.38796,8527669921.875
04.01.2016 15:00:00.000,1.38806,1.39450,1.38720,1.39425,10272299804.6875
04.01.2016 16:00:00.000,1.39425,1.39831,1.39381,1.39688,8929469726.5625
04.01.2016 17:00:00.000,1.39692,1.39736,1.39522,1.39599,5094830078.125
04.01.2016 18:00:00.000,1.39598,1.39612,1.39455,1.39494,5015080078.125
04.01.2016 19:00:00.000,1.39494,1.39606,1.39473,1.39534,4165779785.1563
04.01.2016 20:00:00.000,1.39534,1.39550,1.39388,1.39393,3557929931.6406
04.01.2016 21:00:00.000,1.39394,1.39537,1.39325,1.39517,2345219970.7031
04.01.2016 22:00:00.000,1.39516,1.39534,1.39262,1.39272,1792930053.7109
04.01.2016 23:00:00.000,1.39273,1.39404,1.39273,1.39360,1777380004.8828
05.01.2016 00:00:00.000,1.39360,1.39368,1.39250,1.39285,1576119995.1172
05.01.2016 01:00:00.000,1.39285,1.39290,1.39151,1.39156,3385679931.6406
05.01.2016 02:00:00.000,1.39156,1.39196,1.39019,1.39023,2417080078.125
05.01.2016 03:00:00.000,1.39022,1.39079,1.38976,1.39078,1832569946.2891
05.01.2016 04:00:00.000,1.39078,1.39108,1.39017,1.39089,1501290039.0625
05.01.2016 05:00:00.000,1.39087,1.39199,1.39079,1.39163,1904560058.5938
05.01.2016 06:00:00.000,1.39162,1.39252,1.39137,1.39195,2615350097.6563
05.01.2016 07:00:00.000,1.39195,1.39204,1.39055,1.39076,4921600097.6563
05.01.2016 08:00:00.000,1.39076,1.39364,1.39071,1.39303,7542600097.6563
05.01.2016 09:00:00.000,1.39303,1.39379,1.39235,1.39328,6549850097.6563
05.01.2016 10:00:00.000,1.39329,1.39489,1.39299,1.39408,6116370117.1875
05.01.2016 11:00:00.000,1.39409,1.39462,1.39196,1.39251,5695549804.6875
05.01.2016 12:00:00.000,1.39250,1.39450,1.39236,1.39357,5845580078.125
05.01.2016 13:00:00.000,1.39356,1.39364,1.39187,1.39249,9508860351.5625
05.01.2016 14:00:00.000,1.39251,1.39661,1.39214,1.39658,11511299804.6875
05.01.2016 15:00:00.000,1.39658,1.39847,1.39505,1.39839,12156620117.1875
05.01.2016 16:00:00.000,1.39837,1.40186,1.39672,1.39933,11017230468.75
